 + TIC Scan DR_328.D ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt)
66,54.618,54.722,54.961,9634.1,89182.82,0.33,0.14,0.06,0.344,0.142,24985.38,25369.59,54.436,54.461,54.989,55.307,24985.38,25369.59,2.5,34736,,,  ,207,,,,,,,,,,
67,55.301,55.619,55.931,8870.97,172899.33,0.64,0.13,0.12,0.63,0.372,26132,24749,54.989,55.307,57.178,57.394,25595.56,24428.31,0.74,33877,,,  ,207,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 + TIC Scan DR_331.D ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt)
1,4.093,4.125,4.246,33176.02,95691.88,0.79,0.96,0.09,0.153,0.038,31602,24258,4.093,4.1,4.57,4.717,28655.95,23703.68,1.82,60800,,,  ,281,,,,,,,,,,
2,6.059,6.116,6.237,3102.1,19421.82,0.16,0.09,0.02,0.178,0.562,7175,7268,5.652,6.072,6.218,6.473,7175,7268,0.26,10307,,,  ,57.1,,,,,,,,,,
3,6.46,6.53,6.644,4839.77,26600.13,0.22,0.14,0.03,0.184,0.08,7515,7098.51,6.218,6.473,7.001,7.414,7285.17,7098.51,1.91,12054,,,  ,43.1,,,,,,,,,,
4,7.396,7.452,7.611,18832.34,72727.35,0.6,0.54,0.07,0.216,0.044,6737.31,7710,7.001,7.414,10.054,10.608,6737.31,6448.97,2.68,25494,,,  ,73.1,,,,,,,,,,
5,11.708,11.753,11.817,29599.06,76000.19,0.63,0.85,0.07,0.108,0.04,10957,11003,10.054,10.608,14.769,15.939,10957,11003,1.46,40575,,,  ,73.1,,,,,,,,,,
6,15.94,15.984,16.041,3465.31,8996.83,0.07,0.1,0.01,0.101,0.036,4063.4,4198,14.769,15.939,16.009,16.079,4063.4,4077.93,1.25,7535,,,  ,41,,,,,,,,,,
7,16.041,16.092,16.289,2850.03,19481.14,0.16,0.08,0.02,0.248,0.139,4198,3979.88,16.009,16.079,17.345,17.911,4124.7,3979.88,4,6945,,,  ,42.9,,,,,,,,,,
8,17.943,18.153,18.255,2000.66,23028.4,0.19,0.06,0.02,0.312,0.515,2964,3698,17.345,17.911,18.548,18.573,2964,3698,1.93,5459,,,  ,43,,,,,,,,,,
